"","chisq","multlik","delta","biochemdiv","consind","brsup","CIbrsup","trlen","maha"
"Tail area probability",0.1,0.2,0.5,0.8,0,1,0.7,0.5,0.7
"Empirical test statistic",5.19882846241414,-593.12888,169.27666,1.38,0.926829268292683,0.427727272727273,0.9928,0.41836485,7.06931573236441
"Standard deviations from simulated distribution",-0.927162630220486,-0.820417119649797,0.372169211380588,0.602717310540005,0.757315902467903,1.78839233995891,0.801057993221762,0.192910936992104,-0.18012009459464
