"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,1,0,0,0
"Empirical test statistic",218.895200538337,-2821.87595,2.73460721868365,0.443154034229829,8.98180557111336
"Standard deviations from simulated distribution",4.4097316962706,7.49713406734746,-11.8956435922429,5.41005357327174,2.47697594558019
