"","stemmystat","df","trlen","aindex","maha"
"Tail area probability",0.3,0.7,0.3,1,0.4
"Empirical test statistic",0.50624490601391,-0.0545821022807019,3.63472724,0.00541715476840017,3.41680963085384
"Standard deviations from simulated distribution",-0.51272987348496,0.489743024097777,-0.830056235617081,0.0226735359798105,-0.117203611435608
