"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114"
"Branch-wise P-values",0.4,0.75,0.5,0.7,0.45,0.9,0.45,0.25,0.4,0.6,0.6,0.55,0.8,0.7,0.6,0.6,0.55,0.5,0.6,0.5,0.65,0.55,0.6,0.75,0.65,0.3,0.65,0.65,0.6,0.8,0.55,0.35,0.6,0.75,0.5,0.75,0.7,0.2,0.5,0.65,0.55,0.5,0.75,0.55,0.85,0.6,0.45,0.6,0.65,0.6,0.7,0.6,0.6,0.4,0.6,0.55,0.65,0.55,0.65,0.55,0.55,0.75,0.9,0.9,0.15,0.55,0.45,0.7,0.7,0.8,0.05,0.55,0.75,0.5,0.7,0.55,0.45,0.25,0.7,0.55,0.6,0.8,0.6,0.5,0.5,0.6,0.55,0.5,0.85,0.45,0.35,0.4,0.9,0.55,0.55,0.85,0.5,0.7,0.6,0.4,0.6,0.75,0.7,0.65,0.35,0.65,0.6,0.6,0.75,0.65,0.55,0.6,0.7,0.7
"Branch-wise SDPD",-0.378049521173693,0.346488679408467,-0.107264558463561,0.334105944454349,-0.133939201291753,0.797532827362149,-0.381123723525436,-0.697033468447365,-0.392174472636936,-0.0747541459096955,-0.0371834164502367,-0.116077647892928,0.304391536974697,0.377216126073814,0.026308280202152,-0.106693271215486,0.0421646582558138,-0.287468095386009,-0.18038642035601,-0.230566653953987,0.0285831161052118,0.00195810815207679,0.0275140620725247,0.516323677305855,0.00728222820671219,-0.812918497977998,-0.18312179052925,-0.163272722309253,-0.179044732613902,-0.0968533711720325,-0.289122986830375,-0.317804660589592,-0.191702907994788,0.440456896943858,-0.364980846412119,0.441882052026474,0.566299943627876,-0.520656576844768,-0.316405769686288,0.204071784589164,0.200750362666398,0.0265061114768754,0.757346794326563,-0.0471524299717877,0.352596368327749,-0.308969608365254,-0.318031401019212,0.414600796187262,0.0932329670728759,0.219047343305208,-0.101809985267555,0.0830589763972081,0.014051851039365,-0.200937968900965,-0.153638661601279,-0.0207093749388182,-0.0266568647364292,0.0474929770915743,0.205716506302123,-0.0546275287953364,-0.120172981104663,0.154123704151031,0.854290211840974,0.575265498974842,-0.776117514525234,-0.2407372313672,-0.126199795406525,0.200435329030965,0.278579238792201,0.177269581283798,-0.704725234608271,-0.539352747318686,0.117369465389424,-0.325742067269367,0.413836779359276,-0.215956740920074,0.124682399301461,-0.385718505852047,-0.138349257913449,-0.292129101185217,-0.103558455117709,0.32778169665426,0.133034709144983,-0.0533934870601395,-0.126621214907454,0.0413581556285701,-0.0683526805633055,-0.0589676129303741,0.439819165799891,-0.435490218244188,-0.494195038329196,-0.25175809845473,0.977462495142124,-0.228179234044584,0.0818380737956877,0.857640313246679,0.284294448369517,0.251827085507311,-0.126954865810845,-0.294426258156792,0.168685430482732,0.446459691929663,0.329751048653258,-0.0107998035114319,-0.579723179364281,0.0256726351440031,0.257879666944108,0.0717978469607562,0.19621326883706,0.161975282164272,-0.0748574304604454,0.146784825986488,0.306754424036557,0.217404590632097
