"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,1,0,0,0
"Empirical test statistic",259.973860888836,-1716.73383,2.53561253561254,0.111511655851959,8.91744996066681
"Standard deviations from simulated distribution",10.5831795057448,8.13527530459782,-14.4930732155839,-13.4248521651371,3.10106503991627
