"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,1,0,0,0
"Empirical test statistic",1081.07482176458,-8390.9736,2.39085894405043,0.0865748614692489,9.08035428487852
"Standard deviations from simulated distribution",39.5720009268758,7.13819795561138,-75.3612968220413,8.58665505151056,2.53282986941966
