"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sim.1.dtree",NA,0.199,0.06,0.725,0.644,0.715,0.673,0.443,0.411,NA,0.788,0.519,0.177,0.408,0.814,0.132,0.594,0.151,NA,0.136,0.047,NA,0.672,0.212,0.159,NA,0.649,0.021,NA,0.269,0.37,0.266,0.331,0.615,0.101,0.11,0.079,0.425,0.702,NA,0.382
"sim.1.entrop",NA,0.463,0.222,0.868,0.936,0.962,0.948,0.824,0.77,NA,0.957,0.876,0.491,0.755,0.977,0.418,0.796,0.448,NA,0.422,0.179,NA,0.934,0.564,0.467,NA,0.757,0.154,NA,0.632,0.762,0.645,0.652,0.906,0.329,0.369,0.291,0.735,0.894,NA,0.649
"sim.1.icert",0.84,0.335,0.712,0.001,0.075,0.057,0.069,0.223,0.16,NA,0.005,0.143,0.461,0.147,0.009,0.624,0.018,0.52,0.359,0.523,0.747,0.787,0.037,0.47,0.527,0.411,0.003,0.914,0,0.326,0.287,0.433,0.184,0.054,0.594,0.678,0.748,0.094,0.007,0.803,0.343
"sim.1.binp",0.037,0.045,0,0.213,0.173,0.259,0.173,0.1,0.111,0.037,0.704,0.259,0.007,0.1,0.532,0,0.173,0.018,0.037,0.111,0,0.111,0.32,0,0,1,0.556,0.333,NA,0.001,0.004,0.045,0.045,0.556,0.012,0,0.007,1,0.704,0.333,0.208
"sim.1.dstat",1,0.9,0.724,0.611,0.086,0.011,0.046,0.047,0.424,NA,0.294,0.111,0.453,0.506,0.17,0.111,0.723,0.411,1,0.567,0.859,1,0.252,0.152,0.304,1,0.837,NA,1,0.385,0.069,0.003,0.704,0.24,0.657,0.072,0.074,0.642,0.51,1,0.472
"sim.1.kcstat",41.918,4.98,22.294,1.12,6.952,37.281,10.991,27.187,3.887,NA,1.415,8.8,10.777,3.372,1.844,59.927,1.446,14.147,5.143,11.714,24.33,28.667,2.435,24.973,17.884,6.059,1.146,NA,1,7.555,24.982,809.875,3.368,2.931,14.016,113.013,158.821,2.419,1.333,31.667,40.833
"ID.2",44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,63.5
"sCF.sim.2",84.3,97.64,90.1,65.98,32.11,57.8,57.51,75.89,66.7,99.86,66.09,58.69,64.05,41.65,35.15,89.33,75.71,51.25,88.3,9.33,96.6,0,45.47,68.45,91.42,59.08,48.97,95.38,93,61.41,61.38,56.64,83.52,46.68,57.33,78.32,83.8,0,68.95,96,64.996
"sDF1.sim.2",15.37,1.83,1.38,16.32,36.42,25.11,14.01,12,22.23,0.14,14.97,29.07,16.4,33.09,27.92,1.7,20.2,43.42,10.9,41.83,0,0,13.32,21.99,3.37,19.99,46.57,0,0,13.28,23.18,19.18,3.25,35.93,1.17,10.41,4.73,36.33,2.77,4,16.095
"sDF2.sim.2",0.33,0.53,8.51,17.71,31.47,17.09,28.48,12.1,11.07,0,18.94,12.23,19.55,25.26,36.94,8.97,4.08,5.33,0.8,31.83,3.4,32,41.21,9.56,5.21,20.93,4.47,2.62,0,25.31,15.44,24.18,13.23,17.38,14.5,11.27,11.46,42.67,28.28,0,15.358
"sN.2",3.22,10.63,17.93,14.58,10.77,10.52,9.61,6.54,5.5,6.63,8.92,8.58,10.05,8.72,10.36,16,4.21,3.23,3.74,1.25,8.6,0.45,9.5,23.94,27.12,5.12,3.69,2.25,0.93,21.08,19.31,7.19,5.33,2.69,1.02,15.46,11.03,1.54,3.73,2.11,8.577
"br.length.2",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.2.dnet",0.274,0.607,0.423,0.339,0.375,0.259,0.204,0.405,0.241,NA,0.312,0.185,0.315,0.295,0.325,0.413,0.22,0.058,0.365,0.126,NA,NA,0.144,0.233,0.518,0.327,0.046,NA,NA,0.225,0.264,0.286,0.33,0.198,0.174,0.411,0.374,NA,0.118,NA,0.285
"sim.2.dtree",0.17,0.024,0.104,0.41,0.932,0.535,0.54,0.274,0.4,NA,0.408,0.521,0.438,0.824,0.921,0.113,0.276,0.645,0.124,0.64,NA,NA,0.75,0.375,0.09,0.514,0.685,NA,NA,0.478,0.479,0.554,0.18,0.727,0.236,0.243,0.176,NA,0.368,NA,0.429
"sim.2.entrop",0.41,0.113,0.33,0.798,0.998,0.879,0.866,0.655,0.772,NA,0.795,0.846,0.82,0.982,0.994,0.352,0.605,0.784,0.355,0.865,NA,NA,0.903,0.744,0.319,0.874,0.769,NA,NA,0.833,0.844,0.894,0.482,0.935,0.593,0.613,0.492,NA,0.649,NA,0.702
"sim.2.icert",0.38,0.868,0.576,0.255,0.003,0.115,0.084,0.422,0.189,0.985,0.235,0.084,0.215,0.009,0,0.559,0.257,0.005,0.5,0.013,0.786,NA,0.002,0.2,0.697,0.171,0,0.822,NA,0.129,0.153,0.12,0.424,0.012,0.274,0.454,0.47,0.005,0.13,0.758,0.299
"sim.2.binp",0.037,0,0,0.009,0.527,0.122,0.077,0.045,0.1,0,0.042,0.145,0.077,0.35,0.441,0,0.111,0.259,0.111,0.333,0.001,NA,0.441,0.001,0,0.21,0.407,0.111,0.333,0.007,0.007,0.173,0.045,0.704,0.333,0,0.001,0.556,0.111,0.111,0.163
"sim.2.dstat",0.958,0.551,0.721,0.041,0.01,0.19,0.341,0.004,0.335,1,0.117,0.408,0.088,0.134,0.115,0.681,0.664,0.781,0.863,0.547,1,NA,0.511,0.394,0.214,0.023,0.825,1,NA,0.312,0.2,0.115,0.606,0.348,0.851,0.04,0.416,1,0.822,1,0.48
"sim.2.kcstat",5.583,74.7,12.443,35.727,7.734,5.076,3.006,638.9,4.985,713.286,12.877,2.759,15.127,2.093,1.248,12.054,4.444,1.206,8.663,1.444,28.412,NA,1.153,4.738,47.853,41.585,1.057,36.405,NA,4.001,5.935,7.492,8.043,1.58,4.213,78.965,11.749,1.175,2.594,24,49.324
"ID.3",44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,63.5
"sCF.sim.3",100,76.12,79.79,65.56,26.02,55.13,38.58,80.18,66.44,80.03,57.37,44.03,79.27,41.66,41.33,73.82,31.01,93.85,97.55,85.35,86.16,61.88,31.36,72.32,97.29,97.7,0,40,95,54.04,83.5,80.3,85.73,8.67,94.83,77.11,91.93,7.68,57.54,0,63.403
"sDF1.sim.3",0,23.51,16.04,13.52,24.83,14.86,30.7,1.49,17.57,6.97,1,19.78,5.17,26.97,36.81,13.82,42.78,4.05,0,10.53,1.84,0,36,11.46,0,0,6,3,0,17.07,7.47,13.3,7.9,17.5,3.83,4.87,6.04,18.9,1.43,0,11.675
"sDF2.sim.3",0,0.37,4.17,20.92,49.15,30.01,29.73,18.33,15.99,0,41.63,36.19,15.56,24.37,21.86,12.36,16.21,2.11,2.45,4.12,12,38.12,32.64,16.21,2.71,2.3,21,3,0,28.89,9.03,6.39,6.37,9.83,1.33,18.02,2.02,59.42,41.03,0,16.396
