"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sim.21.kcstat",9.772,168.435,15.456,4.063,1.511,12.608,46.628,18.653,8.215,37.462,4.405,1.472,97.667,24.503,4.769,21.156,2.704,128.795,39,1.583,5.708,1.512,10.7,4.283,95.744,29.217,25,1.182,39,39.783,46.412,8.255,62.587,1.995,39.816,3.628,18.452,8.302,278.517,2.133,34.277
"sCF.sim.22",67.13,83.7,81.77,58.17,40.44,50.95,42.84,66.25,67.59,100,42.55,42.65,66.37,71.92,41.86,86.6,44.8,92.31,98,93.17,92.98,85.17,12.68,84.02,96.58,89.57,51.33,22.83,95,59.57,56.57,86.56,93.7,13.5,95.88,70.39,86.24,5.85,83.98,19,66.012
"br.length.22",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.22.dnet",0.118,0.437,0.346,0.307,0.32,0.278,0.294,0.232,0.246,NA,0.226,0.234,0.182,0.356,0.34,0.458,0.063,0.492,NA,0.517,0.534,NA,0.265,0.446,0.563,NA,0.018,0.175,NA,0.084,0.17,0.432,0.544,0.144,NA,0.254,0.491,0.511,0.386,NA,0.317
"sim.22.dtree",0.393,0.177,0.2,0.529,0.848,0.65,0.8,0.406,0.387,NA,0.806,0.804,0.404,0.327,0.81,0.144,0.681,0.08,NA,0.071,0.073,NA,0.409,0.174,0.035,NA,0.643,0.29,NA,0.507,0.555,0.144,0.065,0.409,NA,0.348,0.148,0.125,0.174,NA,0.382
"sim.22.entrop",0.683,0.506,0.532,0.882,0.988,0.937,0.978,0.775,0.761,NA,0.96,0.963,0.75,0.717,0.983,0.441,0.798,0.285,NA,0.263,0.273,NA,0.787,0.5,0.144,NA,0.697,0.589,NA,0.753,0.858,0.438,0.251,0.705,NA,0.721,0.451,0.405,0.491,NA,0.644
"sim.22.icert",0.116,0.534,0.423,0.148,0.009,0.064,0.015,0.178,0.2,NA,0.003,0.004,0.147,0.334,0.023,0.584,0.002,0.673,0.859,0.71,0.73,0.394,0.199,0.547,0.796,0.518,0.001,0.215,NA,0.047,0.061,0.555,0.749,0.123,0.752,0.234,0.618,0.66,0.483,NA,0.343
"sim.22.binp",0.259,0.003,0,0.024,0.527,0.145,0.35,0.042,0.042,0,0.649,0.649,0.1,0.045,0.532,0.001,0.21,0,0.333,0.111,0.018,0.111,0.045,0,0,0.004,0.556,0.556,0.333,0.035,0.024,0.007,0.111,1,0.037,0.019,0.001,0.259,0.045,NA,0.184
"sim.22.dstat",0.771,0.13,0.427,0.068,0.086,0.128,0.127,0.358,0.337,NA,0.299,0.276,0.521,0.075,0.025,0.186,0.764,0.529,1,0.464,0.28,1,0.253,0.105,0.86,1,0.931,0.803,NA,0.749,0.436,0.315,0.302,0.5,1,0.368,0.007,0.008,0.372,NA,0.429
"sim.22.kcstat",2.501,36.137,9.839,13.528,2.577,4.715,2.47,4.584,5.201,NA,1.305,1.384,3.327,27.802,9.993,32.59,1.114,22.236,49,28.814,45.914,5.743,6.221,45.756,32.769,8.588,1.096,3.55,NA,1.799,2.341,19.33,48.158,3.056,23.272,5.604,794.1,823.5,13.247,NA,57.923
"sCF.sim.23",60.4,81.13,87.7,48.7,39.8,55.08,33.87,44.7,54.99,89.75,64.19,69.11,85.56,57.58,53.49,85.98,18.39,75.27,98.8,54.38,98.26,97.33,56.84,71.05,90.56,72.45,29.95,56.17,0,45.1,79.56,78.43,83.58,5.35,98.98,81.98,84.23,23.5,55.12,100,64.183
"br.length.23",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.23.dnet",NA,0.343,0.47,0.308,0.343,0.249,0.253,0.236,0.216,0.491,0.311,0.231,0.467,0.22,0.289,0.417,0.25,0.344,0.648,0.325,NA,NA,0.136,0.28,0.533,0.145,0.336,0.227,NA,0.283,0.417,0.392,0.363,0.379,NA,0.414,0.373,0.126,0.152,NA,0.323
"sim.23.dtree",NA,0.208,0.131,0.69,0.861,0.579,0.773,0.764,0.581,0.108,0.436,0.365,0.156,0.538,0.606,0.151,0.649,0.282,0.012,0.591,NA,NA,0.55,0.338,0.099,0.32,0.815,0.201,NA,0.757,0.228,0.242,0.179,0.182,NA,0.198,0.171,0.506,0.579,NA,0.407
"sim.23.entrop",NA,0.546,0.415,0.953,0.991,0.901,0.965,0.958,0.892,0.363,0.818,0.733,0.466,0.871,0.92,0.449,0.93,0.661,0.067,0.915,NA,NA,0.833,0.719,0.344,0.607,0.984,0.585,NA,0.968,0.59,0.609,0.494,0.51,NA,0.541,0.481,0.804,0.86,NA,0.698
"sim.23.icert",0.035,0.415,0.607,0.058,0.01,0.085,0.013,0.011,0.069,0.65,0.214,0.205,0.585,0.092,0.092,0.533,0.05,0.358,0.947,0.12,0.873,0.822,0.05,0.261,0.708,0.175,0.021,0.362,NA,0.024,0.473,0.435,0.456,0.472,0.918,0.493,0.473,0.058,0.045,NA,0.323
"sim.23.binp",0.259,0.001,0.003,0.429,0.429,0.122,0.429,0.532,0.21,0.012,0.21,0.02,0.003,0.173,0.213,0,0.556,0.045,0.012,0.407,0.003,0.111,0.058,0.001,0,0.111,0.407,0.333,NA,0.203,0,0.1,0.037,0.111,0.001,0,0,0.333,0.088,0.333,0.161
"sim.23.dstat",1,0.405,0.194,0.063,0.04,0.207,0.215,0.256,0.295,0.232,0.098,0.415,0.084,0.296,0.1,0.351,0.192,0.188,NA,0.016,1,1,0.544,0.296,0.038,0.837,0.035,0.688,NA,0.138,0.055,0.113,0.456,0.353,1,0.153,0.448,0.562,0.482,NA,0.347
"sim.23.kcstat",1.565,9.884,34.619,7.658,4.508,4.011,1.865,1.705,2.948,36.059,13.648,4.693,65.248,3.396,7.017,16.517,3.204,14.028,NA,44.347,56.471,36.453,2.002,7.102,238.944,3.043,7.025,6.135,NA,2.835,62.411,28.337,10.576,13.228,97.039,26.938,11.314,2.089,2.012,NA,24.078
"sCF.sim.24",99.67,80.56,94.77,77.32,18.69,63.8,55.83,74.96,74.92,100,55.89,47.22,87.21,59.41,46.99,73.26,62.23,86.63,24.98,75.01,96.66,84.5,44.26,79.76,94.05,84.67,77.33,11,99.27,67.47,79.6,84.15,60.22,5.06,85.68,80.57,95.92,1,72.61,2,66.628
"br.length.24",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.24.dnet",NA,0.36,0.523,0.378,0.239,0.303,0.214,0.318,0.219,NA,0.133,0.321,0.499,0.215,0.247,0.303,0.342,0.439,0.109,0.174,0.591,NA,0.193,0.345,0.534,NA,0.316,0.277,NA,0.242,0.371,0.426,0.029,0.508,0.332,0.365,0.549,0.323,0.246,NA,0.323
"sim.24.dtree",NA,0.215,0.054,0.256,0.639,0.442,0.567,0.286,0.287,NA,0.566,0.717,0.137,0.509,0.721,0.309,0.466,0.143,0.412,0.286,0.034,NA,0.773,0.225,0.061,NA,0.256,0.543,NA,0.388,0.227,0.172,0.497,0.068,0.154,0.215,0.042,0.061,0.317,NA,0.325
"sim.24.entrop",NA,0.562,0.205,0.629,0.924,0.822,0.884,0.662,0.621,NA,0.84,0.962,0.429,0.851,0.952,0.688,0.842,0.437,0.731,0.579,0.151,NA,0.94,0.576,0.237,NA,0.617,0.749,NA,0.761,0.584,0.495,0.642,0.26,0.42,0.563,0.167,0.436,0.681,NA,0.615
"sim.24.icert",0.968,0.425,0.73,0.411,0.053,0.204,0.075,0.332,0.249,NA,0.043,0.052,0.637,0.105,0.025,0.301,0.217,0.563,0.101,0.217,0.836,0.378,0.004,0.403,0.738,0.382,0.353,0.109,0.938,0.196,0.426,0.526,0.033,0.706,0.445,0.43,0.772,0.754,0.249,NA,0.379
"sim.24.binp",0.012,0.003,0,0,0.122,0.066,0.213,0.009,0.018,0.001,0.173,0.259,0,0.1,0.259,0.002,0.21,0,0.333,0.111,0,0.333,0.429,0,0,0.333,0.333,1,0.037,0.039,0.001,0.007,0.407,0.111,0.111,0,0,0.333,0.045,NA,0.139
"sim.24.dstat",1,0.31,0.751,0.126,0.228,0.116,0.305,0.268,0.635,NA,0.546,0.037,0.015,0.323,0.216,0.274,0.002,0.283,0.734,0.825,0.431,1,0.376,0.335,0.466,1,0.353,0.031,1,0.348,0.229,0.201,0.968,0.547,0.774,0.289,0.799,0.333,0.452,NA,0.445
"sim.24.kcstat",302.03,12.267,23.949,23.488,2.978,11.381,3.003,9.819,4.418,NA,1.905,11.237,425.842,3.482,2.286,8.682,619.714,21.594,2.381,3.533,66.465,5.452,1.283,10.771,33.379,5.523,8.75,21.403,135.986,5.027,15.329,24.395,1.548,25.413,7.587,13.13,29.298,46,5.255,NA,51.473
"sCF.sim.25",88.43,88.28,76.51,47.39,45.43,64.99,49.78,83.98,65.86,98.34,69.53,28.8,89.19,58.29,36.38,82.06,45.43,90.83,74.82,88.3,91.91,80.67,51.55,84.33,94.35,94.5,95.17,9.5,100,38.45,82.12,81.48,85.77,25,95.64,83.5,84.93,51.85,59.09,100,71.561
"br.length.25",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.25.dnet",0.377,0.347,0.317,0.335,0.287,0.322,0.265,0.372,0.336,NA,0.251,0.297,0.503,0.069,0.376,0.389,0.113,0.455,0.34,0.372,0.516,NA,0.23,0.469,0.541,0.51,0.57,NA,NA,0.356,0.445,0.407,0.461,NA,NA,0.388,0.45,0.057,0.081,NA,0.352
"sim.25.dtree",0.123,0.124,0.266,0.714,0.751,0.424,0.671,0.174,0.412,NA,0.359,0.716,0.114,0.527,0.933,0.197,0.679,0.096,0.288,0.124,0.084,NA,0.639,0.17,0.058,0.057,0.05,NA,NA,0.889,0.196,0.204,0.153,NA,NA,0.18,0.163,0.634,0.514,NA,0.354
"sim.25.entrop",0.36,0.335,0.633,0.962,0.968,0.809,0.942,0.487,0.799,NA,0.734,0.96,0.379,0.747,0.998,0.536,0.866,0.321,0.669,0.361,0.304,NA,0.922,0.494,0.228,0.209,0.205,NA,NA,0.995,0.54,0.551,0.461,NA,NA,0.503,0.48,0.779,0.755,NA,0.615
"sim.25.icert",0.514,0.482,0.345,0.059,0.027,0.231,0.049,0.469,0.251,0.878,0.223,0.043,0.659,0.035,0.003,0.468,0.006,0.618,0.35,0.507,0.698,0.388,0.049,0.575,0.75,0.713,0.795,0.099,NA,0.007,0.528,0.481,0.58,0.006,0.741,0.481,0.559,0.006,0.044,NA,0.361
"sim.25.binp",0.045,0,0.002,0.35,0.539,0.042,0.21,0.018,0.21,0.012,0.045,0.32,0.001,0.145,0.737,0.003,0.704,0.018,0.111,0.001,0.012,0.333,0.173,0,0,0.333,0.111,NA,0.012,0.368,0,0.02,0.259,1,0.045,0,0,0.407,0.21,0.111,0.177
"sim.25.dstat",0.801,0.978,0.321,0.006,0.125,0.077,0.163,0.437,0.049,1,0.358,0.093,0.119,0.788,0.008,0.258,0.594,0.592,0.189,0.821,0.29,1,0.252,0.019,0.452,0.818,0.31,1,NA,0.026,0.032,0.16,0.122,1,1,0.335,0.133,0.786,0.754,NA,0.428
"sim.25.kcstat",9.415,7.699,9.078,64.394,3.152,18.152,3.509,11.369,29.542,59.241,5.477,4.787,65.45,1.64,9.64,16.32,1.266,16.383,13.6,9.089,37.889,5.629,2.742,255.5,36.25,20.889,62.333,2.158,NA,5.209,126.672,24.815,45.965,1.2,21.936,14.132,39.2,1.234,1.752,NA,28.019
"sCF.sim.26",66.33,84.4,93.48,71.32,30.88,65.6,61.47,85.19,77.75,93.39,56.19,79.23,95.08,64.63,39.57,84.94,29.59,88.38,98.67,88.12,87.43,50.67,46.1,85.88,98.18,77.13,0,51.5,32,55.43,85.52,70.66,94.75,6,96.6,81.74,93.43,5.17,61.83,100,68.356
"br.length.26",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.26.dnet",NA,0.274,0.572,0.141,0.368,0.321,0.249,0.42,0.358,0.526,0.225,0.275,0.532,0.232,0.288,0.464,0.31,0.382,NA,0.483,0.456,0.319,0.165,0.478,0.627,NA,NA,0.054,NA,0.295,0.397,0.102,0.58,0.242,NA,0.444,0.507,0.349,0.093,NA,0.349
"sim.26.dtree",NA,0.169,0.067,0.335,0.914,0.415,0.477,0.16,0.25,0.068,0.561,0.232,0.05,0.43,0.866,0.163,0.782,0.123,NA,0.126,0.134,0.655,0.738,0.152,0.018,NA,NA,0.423,NA,0.574,0.156,0.344,0.054,0.499,NA,0.201,0.068,0.08,0.472,NA,0.326
"sim.26.entrop",NA,0.405,0.261,0.627,0.997,0.802,0.839,0.47,0.618,0.258,0.885,0.56,0.196,0.797,0.984,0.48,0.975,0.365,NA,0.405,0.42,0.942,0.918,0.46,0.093,NA,NA,0.676,NA,0.905,0.456,0.585,0.22,0.59,NA,0.548,0.251,0.409,0.735,NA,0.58
"sim.26.icert",0.52,0.38,0.784,0.163,0.004,0.237,0.144,0.53,0.395,0.723,0.083,0.335,0.744,0.163,0.002,0.575,0.022,0.518,0.898,0.626,0.589,0.081,0.005,0.6,0.905,0.224,0.133,0.068,0.241,0.114,0.508,0.134,0.806,0.113,0.786,0.523,0.701,0.622,0.065,NA,0.386
"sim.26.binp",0.333,0.007,0,0.019,0.429,0.173,0.259,0.007,0.018,0.018,0.407,0.037,0,0.1,0.429,0,0.407,0.001,0.111,0.111,0.007,0.407,0.32,0,0,0.045,0.259,0.333,NA,0.145,0,0.21,0.037,NA,0.012,0.001,0.007,0.333,0.21,0.333,0.145
"sim.26.dstat",1,0.972,0.025,0.81,0.016,0.087,0.245,0.283,0.213,0.419,0.275,0.598,0.739,0.33,0.17,0.07,0.081,0.766,1,0.153,0.249,0.03,0.445,0.048,0.337,1,1,0.93,1,0.088,0.42,0.943,0.112,0.077,1,0.023,0.595,0.88,0.752,NA,0.466
"sim.26.kcstat",8.648,5.553,564.375,2.952,6.51,16.742,4.966,19.064,14.526,33.022,3.343,6.039,26.017,4.52,1.413,74.229,3.864,9.778,74.188,45.654,26.425,17.833,1.298,116.412,159.967,3.373,2.469,1.906,3.556,8.977,13.353,2.522,156.644,10,28.412,173.381,23.555,13.465,1.99,NA,43.357
"sCF.sim.27",99.55,76.26,93.25,51.32,22.77,62.22,53.94,78.8,81.91,98.97,76.67,36.42,63.16,82.56,35.51,70.16,79.1,77.08,86.22,83.25,62.59,78.75,45.6,82.04,85.26,93.72,89.2,10.78,97,52.21,84.68,71.65,74.39,10,93.1,82.49,82.14,58.52,69.42,96,70.716
"br.length.27",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.27.dnet",NA,0.181,0.554,0.261,0.277,0.213,0.274,0.362,0.416,NA,0.21,0.343,0.195,0.405,0.276,0.318,0.418,0.315,0.447,0.401,0.173,NA,0.205,0.356,0.456,NA,0.38,0.374,NA,0.311,0.444,0.186,0.226,0.35,0.464,0.448,0.432,0.04,0.159,NA,0.32
"sim.27.dtree",NA,0.269,0.07,0.643,0.721,0.466,0.598,0.237,0.199,NA,0.264,0.932,0.452,0.191,0.85,0.351,0.233,0.259,0.148,0.183,0.46,NA,0.747,0.197,0.159,NA,0.114,0.275,NA,0.628,0.166,0.33,0.294,0.277,0.071,0.192,0.196,0.523,0.361,NA,0.355
"sim.27.entrop",NA,0.556,0.267,0.931,0.959,0.819,0.915,0.599,0.543,NA,0.575,0.996,0.8,0.528,0.98,0.74,0.598,0.622,0.449,0.512,0.795,NA,0.942,0.528,0.473,NA,0.333,0.663,NA,0.931,0.485,0.663,0.636,0.655,0.238,0.533,0.539,0.692,0.683,NA,0.652
"sim.27.icert",0.958,0.233,0.758,0.06,0.034,0.129,0.088,0.41,0.495,0.917,0.258,0.001,0.127,0.49,0.003,0.282,0.469,0.349,0.568,0.492,0.109,0.254,0.009,0.435,0.569,0.662,0.523,0.398,0.857,0.091,0.551,0.196,0.25,0.368,0.647,0.535,0.513,0.028,0.159,NA,0.366
"sim.27.binp",0.001,0.02,0,0.108,0.241,0.039,0.173,0.003,0.02,0.004,0.111,0.802,0.21,0.045,0.532,0.008,0.02,0.045,0.012,0.259,0.111,0.111,0.32,0,0,0.045,0.111,0.556,0.037,0.104,0,0.02,0.111,0.556,0.037,0,0.003,0.407,0.111,0.333,0.141
"sim.27.dstat",1,0.852,0.148,0.171,0.141,0.357,0.139,0.231,0.139,1,0.749,0.081,0.426,0.212,0.191,0.16,0.038,0.348,0.216,0.263,0.489,1,0.334,0.399,0.121,1,0.889,0.081,1,0.047,0.143,0.644,0.588,0.178,0.928,0.033,0.087,0.902,0.678,NA,0.421
"sim.27.kcstat",221.222,3.684,90.37,3.751,3.242,3.714,5.315,14.418,29.53,96.087,4.221,1.401,3.353,20.457,1.426,12.056,86.313,8.723,27.121,17.478,2.897,3.706,1.513,10.69,44.258,14.924,9.229,33.026,48.5,13.031,35.667,3.646,4.592,15.166,14.508,127.621,47.429,1.511,3.108,NA,27.921
"sCF.sim.28",99.67,88.96,88.27,48.21,49.09,38.75,46.46,68.02,74.23,99.17,76.74,14.69,82.84,22.55,18.93,86.39,77.64,94.43,31,78.4,85.59,46.78,50.57,69.33,91.93,65.78,67.15,86.83,13,73.83,75.53,79.49,85.77,22.7,96.55,87.14,89.39,6.4,60,97.5,65.892
"br.length.28",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.28.dnet",NA,0.467,0.404,0.281,0.252,0.257,0.242,0.269,0.23,NA,0.368,0.166,0.373,0.215,0.222,0.412,0.247,0.498,NA,0.334,0.318,NA,0.202,0.309,0.504,0.337,0.324,NA,NA,0.389,0.349,0.28,0.46,0.097,0.58,0.486,0.484,0.442,0.05,NA,0.329
"sim.28.dtree",NA,0.117,0.125,0.699,0.683,0.883,0.731,0.381,0.296,NA,0.263,0.744,0.188,0.532,0.711,0.146,0.252,0.057,NA,0.242,0.155,NA,0.657,0.362,0.084,0.413,0.393,NA,NA,0.301,0.279,0.228,0.153,0.613,0.035,0.138,0.112,0.165,0.5,NA,0.353
"sim.28.entrop",NA,0.381,0.381,0.953,0.943,0.976,0.953,0.761,0.642,NA,0.638,0.92,0.515,0.867,0.942,0.438,0.58,0.204,NA,0.601,0.411,NA,0.918,0.751,0.301,0.8,0.782,NA,NA,0.688,0.657,0.556,0.461,0.765,0.153,0.43,0.372,0.482,0.695,NA,0.634
"sim.28.icert",0.968,0.615,0.54,0.044,0.04,0,0.021,0.222,0.251,0.931,0.395,0.004,0.459,0.09,0.022,0.532,0.297,0.698,0.799,0.379,0.431,0.003,0.033,0.266,0.684,0.252,0.256,0.611,NA,0.385,0.365,0.341,0.578,0.006,0.82,0.621,0.638,0.55,0.038,0.831,0.385
"sim.28.binp",0.037,0,0,0.289,0.213,0.441,0.213,0.042,0.045,0.037,0.045,0.407,0.02,0.259,0.213,0,0.045,0.012,NA,0.259,0.018,0.259,0.213,0.004,0,0.1,0.21,0.333,NA,0.001,0,0.045,0.556,1,0.037,0,0,0.111,0.173,0.333,0.157
"sim.28.dstat",1,0.308,0.618,0.126,0.196,0.256,0.23,0.272,0.567,1,0.146,0.444,0.366,0.282,0.278,0.407,0.639,0.928,1,0.325,0.845,1,0.328,0.173,0.383,0.044,0.097,1,NA,0.013,0.18,0.593,0.129,0.639,0.565,0.075,0.246,0.159,0.881,1,0.455
"sim.28.kcstat",302.03,25.041,11.866,3.907,2.866,1.019,2.096,6.48,4.699,119.482,19.65,1.259,12.305,3.445,1.958,14.865,5.154,18.226,31,10.13,6.941,1.138,2.097,10.687,28.945,32.947,16.45,12.11,NA,184.576,14.886,6.194,43.481,1.26,49.128,83.701,32.716,32.388,1.636,39,30.712
"sCF.sim.29",81.8,59.59,95.68,36.48,35.93,57.39,30.26,66.72,70.66,99.04,65.34,64.86,66.75,38.68,39.26,76.08,47.89,71.75,94.67,37.49,78.71,68.07,73.45,81.22,93.1,87.51,56.92,27.17,100,49.31,83.53,69.41,90.45,6.83,67,80.15,74.59,31.45,53.35,96.67,65.13
"br.length.29",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.29.dnet",0.251,0.184,0.547,0.328,0.275,0.312,0.344,0.142,0.156,NA,0.314,0.305,0.143,0.112,0.327,0.397,0.181,0.127,NA,0.203,0.394,NA,0.35,0.442,0.559,0.434,NA,NA,NA,0.329,0.399,0.251,0.52,0.315,0.069,0.358,0.358,0.096,0.096,NA,0.291
"sim.29.dtree",0.2,0.506,0.044,0.931,0.857,0.541,0.836,0.399,0.344,NA,0.419,0.426,0.399,0.686,0.872,0.272,0.705,0.329,NA,0.77,0.238,NA,0.306,0.207,0.071,0.133,NA,NA,NA,0.679,0.179,0.361,0.1,0.246,0.385,0.22,0.291,0.421,0.608,NA,0.424
"sim.29.entrop",0.472,0.836,0.177,0.994,0.98,0.889,0.988,0.714,0.657,NA,0.804,0.809,0.715,0.867,0.991,0.652,0.922,0.6,NA,0.945,0.604,NA,0.692,0.558,0.272,0.413,NA,NA,NA,0.951,0.505,0.735,0.347,0.661,0.593,0.57,0.674,0.688,0.824,NA,0.7
"sim.29.icert",0.338,0.091,0.768,0,0.002,0.143,0.017,0.126,0.167,0.922,0.228,0.216,0.127,0.005,0.006,0.417,0.014,0.158,0.7,0.005,0.441,0.096,0.345,0.515,0.763,0.566,0.016,0.1,NA,0.073,0.492,0.222,0.691,0.405,0.095,0.419,0.363,0.09,0.019,0.789,0.281
"sim.29.binp",0.018,0.173,0,0.524,0.448,0.066,0.32,0.21,0.045,0,0.21,0.21,0.042,0.704,0.429,0.02,0.32,0.045,0.259,0.407,0.018,0.259,0.009,0,0,0.045,0.556,0.333,0.333,0.35,0,0.02,0.259,0.333,0.556,0,0.008,0.111,0.32,0.333,0.207
"sim.29.dstat",0.867,0.417,0.741,0.112,0.198,0.052,0.026,0.672,0.729,1,0.104,0.123,0.667,0.598,0.083,0.033,0.391,0.881,1,0.348,0.112,1,0.125,0.016,0.091,0.374,1,1,NA,0.011,0.288,0.357,0.11,0.18,0.979,0.302,0.126,0.809,0.656,1,0.451
"sim.29.kcstat",5.107,2.837,29.725,1.163,1.344,16.828,7.948,2.74,3.118,103.167,13.836,11.447,2.76,1.239,2.257,82.705,1.571,2.815,17.762,1.356,29.101,2.132,18.571,239.933,142.81,17.901,1.353,2.165,NA,44.889,16.352,5.456,82.095,17.167,2.127,12.224,19.779,2.201,1.482,29.03,25.602
"sCF.sim.30",99.73,88.98,83.54,70.15,29.5,57.91,57.49,74.34,39.24,100,72.79,27.68,78.01,59.57,30.4,88.16,63.36,69.24,92.5,90.05,75.51,74.5,61.32,70.94,88.45,88.22,74.22,36,100,57.42,77.95,53.28,90.45,82,97.5,64.04,95.74,0.5,49.58,1.5,67.794
"br.length.30",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.30.dnet",NA,0.4,0.409,0.278,0.309,0.309,0.307,0.364,0.299,NA,0.354,0.33,0.395,0.333,0.364,0.471,0.193,0.141,NA,0.489,0.374,NA,0.273,0.169,0.407,0.411,0.257,NA,NA,0.283,0.414,0.234,0.466,0.386,NA,0.272,0.534,NA,0.049,NA,0.331
"sim.30.dtree",NA,0.117,0.179,0.351,0.756,0.533,0.54,0.294,0.832,NA,0.315,0.741,0.247,0.507,0.924,0.126,0.448,0.364,NA,0.105,0.279,NA,0.48,0.34,0.123,0.125,0.296,NA,NA,0.541,0.248,0.61,0.1,0.198,NA,0.439,0.044,NA,0.674,NA,0.383
"sim.30.entrop",NA,0.356,0.506,0.732,0.971,0.884,0.888,0.679,0.981,NA,0.703,0.969,0.618,0.869,0.997,0.403,0.797,0.67,NA,0.354,0.66,NA,0.846,0.663,0.377,0.385,0.656,NA,NA,0.887,0.619,0.911,0.337,0.537,NA,0.814,0.166,NA,0.773,NA,0.678
"sim.30.icert",0.973,0.542,0.503,0.25,0.032,0.147,0.141,0.366,0.007,NA,0.342,0.045,0.435,0.181,0.002,0.613,0.127,0.146,0.616,0.65,0.388,0.193,0.157,0.178,0.545,0.547,0.273,0.465,NA,0.126,0.453,0.064,0.627,0.464,0.831,0.184,0.752,0.943,0.001,0.885,0.374
"sim.30.binp",0,0,0,0.009,0.32,0.077,0.21,0.018,0.704,0.012,0.111,0.32,0.001,0.21,0.649,0,0.111,0.045,0.111,0.045,0.045,0.556,0.088,0.009,0,0.004,0.259,1,0.111,0.035,0,0.407,0.111,0.333,0.111,0.077,0,0.333,0.407,0.333,0.179
"sim.30.dstat",1,0.726,0.244,0.283,0.075,0.062,0.064,0.101,0.127,NA,0.098,0.024,0.087,0.009,0.03,0.22,0.434,0.741,1,0.271,0.095,1,0.177,0.688,0.621,0.575,0.462,1,NA,0.124,0.02,0.242,0.466,0.269,1,0.207,0.934,1,0.815,1,0.429
"sim.30.kcstat",369.37,10.934,19.234,7.036,4.794,14.734,13.773,24.158,2.003,NA,22.667,15.147,35.401,106.865,3.127,32.131,3.331,2.864,12.333,32.007,27.652,3.041,6.62,3.323,12.031,12.662,5.645,7.2,NA,7.317,149.222,3.143,19.753,15.583,39,6.699,24.02,151,1.093,63.667,33.963
"sCF.sim.31",98.27,80.66,83.74,50.8,41.99,50.75,42.5,72.45,87.15,99.75,82.03,32.55,83.28,70.11,35.15,88.7,79.54,89.14,69.92,24.17,87.04,93.92,35.66,81.46,92.4,70.28,82.33,43,96.6,49.91,52.14,76.11,58.33,33,100,67.86,97.58,2.33,63.95,98,68.614
"br.length.31",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
