"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","mean"
"sCF.sim.2",84.3,97.64,90.1,65.98,32.11,57.8,57.51,75.89,66.7,99.86,66.09,58.69,64.05,41.65,35.15,89.33,75.71,51.25,88.3,9.33,96.6,0,45.47,68.45,91.42,59.08,48.97,95.38,93,61.41,61.38,56.64,83.52,46.68,57.33,78.32,83.8,0,68.95,96,64.996
"br.length.2",88.7,99.5,99.6,31.6,0,94.8,31.3,92.6,91.3,95.2,92,75.7,95.9,74.1,73.6,99.5,42.2,88,71.4,72.1,96.7,81.7,87.1,98.3,99,86.2,43.6,0,85,81.8,95.1,90.9,23.7,72,86.5,98.1,98.4,0,89.9,75.1,74.955
"sim.2.dnet",0.274,0.607,0.423,0.339,0.375,0.259,0.204,0.405,0.241,NA,0.312,0.185,0.315,0.295,0.325,0.413,0.22,0.058,0.365,0.126,NA,NA,0.144,0.233,0.518,0.327,0.046,NA,NA,0.225,0.264,0.286,0.33,0.198,0.174,0.411,0.374,NA,0.118,NA,0.285
"sim.2.dtree",0.17,0.024,0.104,0.41,0.932,0.535,0.54,0.274,0.4,NA,0.408,0.521,0.438,0.824,0.921,0.113,0.276,0.645,0.124,0.64,NA,NA,0.75,0.375,0.09,0.514,0.685,NA,NA,0.478,0.479,0.554,0.18,0.727,0.236,0.243,0.176,NA,0.368,NA,0.429
"sim.2.entrop",0.41,0.113,0.33,0.798,0.998,0.879,0.866,0.655,0.772,NA,0.795,0.846,0.82,0.982,0.994,0.352,0.605,0.784,0.355,0.865,NA,NA,0.903,0.744,0.319,0.874,0.769,NA,NA,0.833,0.844,0.894,0.482,0.935,0.593,0.613,0.492,NA,0.649,NA,0.702
"sim.2.icert",0.38,0.868,0.576,0.255,0.003,0.115,0.084,0.422,0.189,0.985,0.235,0.084,0.215,0.009,0,0.559,0.257,0.005,0.5,0.013,0.786,NA,0.002,0.2,0.697,0.171,0,0.822,NA,0.129,0.153,0.12,0.424,0.012,0.274,0.454,0.47,0.005,0.13,0.758,0.299
"sim.2.binp",0.037,0,0,0.009,0.527,0.122,0.077,0.045,0.1,0,0.042,0.145,0.077,0.35,0.441,0,0.111,0.259,0.111,0.333,0.001,NA,0.441,0.001,0,0.21,0.407,0.111,0.333,0.007,0.007,0.173,0.045,0.704,0.333,0,0.001,0.556,0.111,0.111,0.163
"sim.2.dstat",0.958,0.551,0.721,0.041,0.01,0.19,0.341,0.004,0.335,1,0.117,0.408,0.088,0.134,0.115,0.681,0.664,0.781,0.863,0.547,1,NA,0.511,0.394,0.214,0.023,0.825,1,NA,0.312,0.2,0.115,0.606,0.348,0.851,0.04,0.416,1,0.822,1,0.48
"sim.2.kcstat",5.583,74.7,12.443,35.727,7.734,5.076,3.006,638.9,4.985,713.286,12.877,2.759,15.127,2.093,1.248,12.054,4.444,1.206,8.663,1.444,28.412,NA,1.153,4.738,47.853,41.585,1.057,36.405,NA,4.001,5.935,7.492,8.043,1.58,4.213,78.965,11.749,1.175,2.594,24,49.324
"sCF.sim.3",100,76.12,79.79,65.56,26.02,55.13,38.58,80.18,66.44,80.03,57.37,44.03,79.27,41.66,41.33,73.82,31.01,93.85,97.55,85.35,86.16,61.88,31.36,72.32,97.29,97.7,0,40,95,54.04,83.5,80.3,85.73,8.67,94.83,77.11,91.93,7.68,57.54,0,63.403
