"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,0,1,0,0
"Empirical test statistic",52.4677761190069,-914.48006,2.27173913043478,0.571884984025559,7.95411490030803
"Standard deviations from simulated distribution",2.71744801236863,-7.51135926484658,2.10537435919218,-1.3539990105924,2.73697900728906
