"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,0,1,0,0
"Empirical test statistic",131.374158410791,-5338.61016,3.21658415841584,0.368274323947589,8.69186838282226
"Standard deviations from simulated distribution",3.51668648767781,-1.95947367230313,12.3553809543281,0.670110238022318,3.09680170190146
