"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,1,0,0,0
"Empirical test statistic",1492.10918645913,-7926.43356,3.09798775153106,0.05730947728383,9.04968996589816
"Standard deviations from simulated distribution",20.3886790025272,2.83570496697762,-25.3779620038037,1.16488466995172,3.38740473086692
