"","chisq","multlik","biochemdiv","consind","maha"
"Tail area probability",1,0,0.7,0,0
"Empirical test statistic",296.010045721905,-19964.16355,2.24439848328163,0.324172392254841,8.99506331786925
"Standard deviations from simulated distribution",13.0778745630103,-18.8645751192776,0.148722039530549,7.1504516388281,3.15019721822611
